,Link,Is_Batter
72,https://www.baseball-reference.com/players/gl.fcgi?id=flaaja01&t=p&year=2021,False
73,https://www.baseball-reference.com/players/gl.fcgi?id=francma02&t=b&year=2021,True
74,https://www.baseball-reference.com/players/gl.fcgi?id=frypa01&t=b&year=2021,True
75,https://www.baseball-reference.com/players/gl.fcgi?id=galvifr01&t=b&year=2021,True
76,https://www.baseball-reference.com/players/gl.fcgi?id=greenco01&t=b&year=2021,True
77,https://www.baseball-reference.com/players/gl.fcgi?id=gutieke01&t=b&year=2021,True
78,https://www.baseball-reference.com/players/gl.fcgi?id=hanhoer01&t=b&year=2021,True
79,https://www.baseball-reference.com/players/gl.fcgi?id=harvehu01&t=p&year=2021,False
80,https://www.baseball-reference.com/players/gl.fcgi?id=harvema01&t=b&year=2021,True
81,https://www.baseball-reference.com/players/gl.fcgi?id=haysau01&t=b&year=2021,True
82,https://www.baseball-reference.com/players/gl.fcgi?id=jannimi01&t=p&year=2021,False
83,https://www.baseball-reference.com/players/gl.fcgi?id=jonesja08&t=b&year=2021,True
84,https://www.baseball-reference.com/players/gl.fcgi?id=knighdu01&t=p&year=2021,False
85,https://www.baseball-reference.com/players/gl.fcgi?id=krehbjo01&t=p&year=2021,False
86,https://www.baseball-reference.com/players/gl.fcgi?id=kremede01&t=p&year=2021,False
87,https://www.baseball-reference.com/players/gl.fcgi?id=kriskbr01&t=b&year=2021,True
88,https://www.baseball-reference.com/players/gl.fcgi?id=lakintr01&t=b&year=2021,True
89,https://www.baseball-reference.com/players/gl.fcgi?id=leblawa01&t=p&year=2021,False
90,https://www.baseball-reference.com/players/gl.fcgi?id=leybado01&t=b&year=2021,True
91,https://www.baseball-reference.com/players/gl.fcgi?id=lopezjo02&t=b&year=2021,True
92,https://www.baseball-reference.com/players/gl.fcgi?id=lowthza01&t=p&year=2021,False
93,https://www.baseball-reference.com/players/gl.fcgi?id=mancitr01&t=b&year=2021,True
94,https://www.baseball-reference.com/players/gl.fcgi?id=martiri01&t=b&year=2021,True
95,https://www.baseball-reference.com/players/gl.fcgi?id=mateojo01&t=b&year=2021,True
96,https://www.baseball-reference.com/players/gl.fcgi?id=mattsis01&t=p&year=2021,False
97,https://www.baseball-reference.com/players/gl.fcgi?id=mckenry01&t=b&year=2021,True
98,https://www.baseball-reference.com/players/gl.fcgi?id=meansjo01&t=b&year=2021,True
